102 500
89	159	208	49
90	210	237	27
91	215	237	22
92	66	66	0
93	100	100	0
94	120	120	0
95	43	120	77
96	150	174	24
97	25	107	82
98	155	177	22
99	202	237	35
100	201	231	30

18
1
23 34 4 17 68 35 92 80 93 94 65 58 21 83 77 36 85 24 

Time: *** msec.
Memory: *** MB / *** MB.
